,adId,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,laundry,elevator,parking,balcony,storage,dishwasher,wheelchair_accessibility,building_access
0,1513942296.0,"K2J0S1, Canada",ontario,45.2524997,-75.74337729999998,775.0,False,"Bright furnished quite room close to Algonquin College, hardwood floors and lots of bright light. Utilities and in unlimited basic Wifi Included. Located 2 minutes walk to bus, Minto sports plex is 8 minute walk. Short drive to malls with everything groceries, pizza, restraunt's, Tim Hortons, Starbucks, movies.

Access to shared kitchenette and laundry. Mini fridge and microwave in room. Street parking only.

House Rules: tenants can not bring pets. One person per room only. The owner has cats so non one with an allergy to pets)

If your interested please state which school you are attending, program start and end date, do you go to school in the summer, or where your employer is located and length of employment.
Couple price $1200.00.

First and last month required. References from previous landlord. Financial check required or co-signer.",Yes,,,,No,,,,,,,,
1,1513942088.0,"138 Salter Crescent, Kanata, ON K2K 1Y8, Canada",ontario,45.3241006,-75.88972869999998,525.0,False,Kanata near Eagleson park and ride and Kanata North Business Park.,Yes,,,,No,,,,,,,,
2,1513941763.0,", Kanata K2T1E1 ON, Canada",ontario,45.3133208,-75.9197064,700.0,True,"Fully furnished rooms for rent in beautiful home in Kanata Lakes. Home is backing to the trail. Close proximity to everything, 5 mins walk to Centrum mall and 2 mins walk to Signature mall. Parking and utilities are included.


En suite master bedroom with walk in closet: $900/month

Large bedroom with lots of window and day light: $700/month",Yes,,,,No,,,,,,,,
3,1513941378.0,"3150 Uplands Drive, k1v0a8, Ottawa, ON",ontario,45.3478727,-75.68167319999998,650.0,False,"5 large rooms to rent in this beautiful, fully furnished, light, and airy, 6-bedroom house in Hunt Club Woods, with full access to all communal areas. 2 off road parking spaces available. On bus route 90 and close to several amenities, including Carleton University.


Approx size of bedrooms:

13 ft 15 in x 11 ft 3 in

17 ft 9 in x 11 ft 7 in

15 ft 4 in x 11 ft 6 in

13 ft 8 in x 11 ft 10 in

11 ft 4 in x 10 ft 5 in

Each bedroom has a bed (3 are queen size), desk, bookcase, chair, wardrobe, drawers/shelving, curtains/blind, and a lock with key on the door. Single occupancy only.


Communal areas include:

3 full bathrooms plus 1 half.

Kitchen with dining area.

Main level Lounge with large tv

Huge basement rec room, one end of which is a den with tv, couches, air hockey, and Foosball table,

Laundry room with washer and dryer

Private gardens.

Storage room,

Double garage and off- road parking.


Fridge freezer, chest freezer,washer, dryer, cooker, microwave provided.


Rent $650/person/room, all inclusive:

Internet 75MPS

Gas and electric (up to$3000 combined/year),

Water,

Property tax,

Property insurance EXCLUDING your contents (this would be your responsibility)


Shopping strip within easy walking distance. Less than 10mins walk to Metro/bank/Moose McGuires/dentist/pizza/Super Drug etc . ~5mins on bus. Several nearby parks 1 - 10 mins walk.


Carleton University: bus route 90/10 ~30mins to Carlton University depending on time of day.

	 Bicycle 22 mins

	 Car 10 min

Algonquin College: bus route 90/88 ~40 Mins to Algonquin depending on time of day.

	 Bicycle 30 mins

	 Car 12-35 mins

Ottawa Hospital General Campus: Bus – approx. 40 – 47 min.

Bike – 30 mins.

Car - 12 - 28 mins

Mooney's Bay: Bus route 90 -13 mins

Bike - 13 mins

Car - 7 mins.

Several trails, pubs, and cinema within easy reach.

All times taken from Google Maps


No smoking/vaping/marijuana/drugs.

No pets.


Rooms available from 1st August.

Students or young professionals ideal.

1-year contract preferred but will consider 6-months.

I hope I haven't missed anything, if I have, please just ask! Contact Michelle via this ad or email; michellegodfrey86@yahoo.ca",Yes,,,,No,,,,,,,,
4,1513939312.0,"Sweetland Ave, Ottawa, ON K1N, Canada",ontario,45.4242656,-75.67820520000001,595.0,False,"Fully furnished room available in a lower level apartment, female only in Sandy Hill, Ottawa university campus, sharing with other UofO students, hydro divided approximately 25 $ available, evething else included, water, heat, AC, high speed Internet unlim, your room includes, double bed, desk, chair, and closet or wardrobe, location is just steps from Ottawa university.",Yes,,,,No,,,,,,,,
5,1513937472.0,", Ottawa K2G3G7 ON, Canada",ontario,45.34711779999999,-75.75707249999998,680.0,False,"Available for August 1st or September 1st. Furnished Room For Rent All-Inclusive No Bills to you just your rent.

Looking for quiet respectable person to rent a furnished Room, Excellent house location, Close to everything, no car needed, 5-10 min walking distance to everything you might need. Excellent bus transit. Centrally-located within the city, wherever you are going: Downtown Ottawa, Nepean, Kanata, Orleans..


▶ 3 Rooms available: Regular size room from 680$ to bigger Bedrooms for 730$ and 740$.

▶ Only 20 min bus ride to Carleton University, 30 min bus to Ottawa University.

▶ 10 min walk to the grocery store: Loblaws, Restaurants, Starbucks, Tim’s, and McDonald’s, Subway, Pizza and so many more, you dont even have to have a car to live around here.


== Key Features ==

• Newly renovated apartment.

• All-Inclusive: Electricity, Water, Heat, Unlimited high speed wireless Internet, Central AC.

• Kitchen with lots of cupboard space and appliances: stove, fridge, toaster, microwave.

• Room includes: bed with with mattress, desk and chair and a closet.

• FREE In-Suite Laundry center in the unit at no charge just bring your detergents.

• Nearby trail for Biking and Walking.

• Good neighborhood, convenient and super close to everything.


• Strictly non-smoking home, No Smoking of anykind, No Vaping, No Drugs, No Parties or loud music.

• 3 Bathrooms shared between all tenants equally.

• 12 Months Lease as usual.

• Credit Check & References Required.

• First and Last month rent required.

• Roommates are looking for Students or Young professionals Only, 1 Person per room.


Questions or would like a showing?

For fast response, reply to the ad with your questions and I will get back to you fast or call: (613) 366-9195",Yes,,,,,,,,,,,,
6,1513934164.0,"Claymor Avenue, Ottawa, ON",ontario,45.366258,-75.708035,450.0,False,"Bedrooms available July 1st. Price range from 450-550

Looking for a female roommate in an all female household.

Room available with private bathroom (not shared).

Information about the house and location:
A HOUSE WITH 4 BDRM. 2.5 BATH. BIG KITCHEN. BIG LIVING ROOM, HARDWOOD THROUGHOUT THE HOUSE.
FRIDGE, BIG FREEZER, STOVE. A/C. QUIET, SAFE, CLEAN. YARD.
25 MIN WALK (about 2.5KM) TO CARLETON U. OR 5 MIN BY BUS 111. NO PETS，NO PARTYING
and NO SMOKING. FEMALE STUDENTS ONLY.

Location is within walking distance to Carleton University.
Close by amenities include Farmer's Pick (groceries), McDonalds, shoppers drugmart, baskin robins etc.
Utilities extra (about 100 dollars and includes highspeed wireless internet).",Yes,,,,No,,,,,,,,
7,1513932411.0,", Ottawa K2G3G7 ON, Canada",ontario,45.34711779999999,-75.75707249999998,680.0,False,"Available for August 1st or September 1st. Furnished Room For Rent All-Inclusive No Bills to you just your rent.

Looking for quiet respectable person to rent a furnished Room, Excellent house location, Close to everything, no car needed, 5-10 min walking distance to everything you might need. Excellent bus transit. Centrally-located within the city, wherever you are going: Downtown Ottawa, Nepean, Kanata, Orleans..


▶ 3 Rooms available: Regular size room from 680$ to bigger Bedrooms for 730$ and 740$.

▶ Only 20 min bus ride to Carleton University, 30 min bus to Ottawa University.

▶ 10 min walk to the grocery store: Loblaws, Restaurants, Starbucks, Tim’s, and McDonald’s, Subway, Pizza and so many more, you dont even have to have a car to live around here.


== Key Features ==

• Newly renovated apartment.

• All-Inclusive: Electricity, Water, Heat, Unlimited high speed wireless Internet, Central AC.

• Kitchen with lots of cupboard space and appliances: stove, fridge, toaster, microwave.

• Room includes: bed with with mattress, desk and chair and a closet.

• FREE In-Suite Laundry center in the unit at no charge just bring your detergents.

• Nearby trail for Biking and Walking.

• Good neighborhood, convenient and super close to everything.


• Strictly non-smoking home, No Smoking of anykind, No Vaping, No Drugs, No Parties or loud music.

• 3 Bathrooms shared between all tenants equally.

• 12 Months Lease as usual.

• Credit Check & References Required.

• First and Last month rent required.

• Roommates are looking for Students or Young professionals Only, 1 Person per room.


Questions or would like a showing?

For fast response, reply to the ad with your questions and I will get back to you fast or call: (613) 366-9195",Yes,,,,,,,,,,,,
8,1513930774.0,", Ottawa K1Z 7J6 ON",ontario,45.38265870000001,-75.74562740000002,840.0,False,"Young Christian professional seeking a like-minded female to share a beautiful 2-bedroom apartment in Westboro. Seeking a clean, mature, professional, non-smoking female roommate for September 1st or October 1st move in date.


KEY FEATURES:

-	Furnished apartment (other than your bedroom)

-	Shared kitchen/living room/dining space/bathroom

-	3-level apartment building (balcony included) – small, quiet apartment building with wonderful natural light

-	10 minute walk to downtown Westboro – loads of coffee shops, restaurants, pubs, etc.

-	5 minute walk to bus route

-	Shopping plaza in walking distance

-	Bike paths and parks nearby

-	Parking may be available (extra $50)

-	Biking storage available

-	Laundry facilities on-site


REQUIREMENTS:

-	No smoking or pets

-	Roommate will be required to sign a 1 year lease. First and last month’s rent up front.

-	A credit check and reference check will be conducted

-	Seeking a young professional or student

-	Rent: Approx. $840 (plus shared utilities/internet bill)


For inquiries, please send me a message to tell me about yourself in order to get to know you better to determine whether you would be a right fit.",Yes,,,,,,,,,,,,
9,1513930016.0,"Ottawa, ON K1V 6W3, Canada",ontario,45.3681,-75.65723,560.0,True,"Average sized furnished basement room for rent in southkeys with a walking distance to Greensboro bus/train route. All utilities included hydro, heat, water, WiFi. Walk to southkeys shopping center, Walmart, lcbo, walkley Bank st. Bus # 6 Bank st to downtown. Prefer students and full time professional workers. Shared 2 full bathroom and kitchen. No smokers/vapes, no drugs/party, no weeds/420, no pets.
First and last months require before.

Please answer:
Work occupation? Or Student and program?
Age/gender?
What substance smoke if not?
How long want to rent for?",Yes,,,,No,,,,,,,,
